,id,s09,s10,s11,s12,Avg
Team   1,1,0.829,0.851,0.893,0.885,0.864
Team   2,2,0.824,0.905,0.906,0.935,0.893
Team   3,3,0.631,0.884,0.909,0.921,0.836
Team   4,4,0.725,0.867,0.900,0.916,0.852
Team   6,6,0.375,0.612,0.702,0.723,0.603
Team   7,7,0.433,0.803,0.849,0.886,0.743
Team   8,8,0.482,0.815,0.842,0.903,0.761
Team   9,9,0.368,0.844,0.926,0.904,0.761
Team  10,10,0.224,0.273,0.289,0.335,0.280
Team  11,11,0.482,0.700,0.672,0.688,0.636
Team  12,12,0.507,0.858,0.934,0.958,0.814
Team  13,13,0.393,0.723,0.844,0.833,0.698
Team  14,14,0.769,0.857,0.898,0.921,0.861
Team  15,15,0.776,0.195,0.904,0.909,0.696
Team  16,16,0.492,0.552,0.674,0.667,0.596
Team  17,17,0.661,0.799,0.881,0.867,0.802
Team  18,18,0.363,0.776,0.788,0.712,0.660
Team  19,19,0.265,0.330,0.370,0.394,0.340
Team  21,21,0.356,0.588,0.644,0.652,0.560
Team  22,22,0.675,0.844,0.909,0.891,0.830
Team  23,23,0.698,0.821,0.936,0.930,0.846
Team  24,24,0.253,0.182,0.301,0.220,0.239
Team  26,26,0.665,0.810,0.919,0.913,0.827
Team  27,27,0.317,0.646,0.617,0.661,0.560
Team  28,28,0.766,0.841,0.902,0.888,0.849
Team  29,29,0.335,0.419,0.511,0.532,0.449
Team  30,30,0.668,0.253,0.222,0.228,0.343
Team  31,31,0.689,0.873,0.940,0.909,0.853
Team  32,32,0.557,0.763,0.815,0.796,0.733
Team  33,33,0.532,0.789,0.857,0.794,0.743
Team  34,34,0.232,0.355,0.701,0.584,0.468
Team  35,35,0.311,0.392,0.461,0.492,0.414
Team  36,36,0.597,0.852,0.906,0.899,0.814
Team  37,37,0.337,0.445,0.477,0.508,0.442
Team  38,38,0.426,0.820,0.853,0.856,0.739
Team  39,39,0.396,0.625,0.684,0.678,0.596
Team  41,41,0.616,0.872,0.899,0.912,0.825
Team  43,43,0.347,0.472,0.539,0.531,0.472
Team  45,45,0.336,0.370,0.418,0.489,0.403
Team  46,46,0.825,0.208,0.918,0.908,0.715
Team  47,47,0.219,0.167,0.212,0.222,0.205
Team  48,48,0.300,0.286,0.333,0.354,0.319
Team  49,49,0.570,0.881,0.921,0.910,0.821
Team  50,50,0.387,0.605,0.673,0.676,0.585
Team  51,51,0.775,0.851,0.922,0.915,0.866
Team  52,52,0.786,0.950,0.950,0.959,0.911
Team  53,53,0.231,0.231,0.258,0.276,0.249
Team  54,54,0.723,0.863,0.897,0.872,0.839
Team  55,55,0.413,0.624,0.723,0.658,0.604
Team  56,56,0.760,0.856,0.906,0.918,0.860
Team  57,57,0.399,0.473,0.556,0.529,0.489
Team  58,58,0.275,0.284,0.324,0.390,0.318
Team  59,59,0.595,0.584,0.646,0.677,0.626
Team  60,60,0.717,0.884,0.893,0.924,0.855
Team  61,61,0.331,0.565,0.623,0.618,0.534
Team  62,62,0.661,0.873,0.901,0.904,0.835
Team  63,63,0.455,0.799,0.909,0.841,0.751
Team  64,64,0.342,0.583,0.639,0.630,0.549
Team  65,65,0.525,0.842,0.921,0.924,0.803
Team  66,66,0.605,0.683,0.804,0.809,0.725
Team  67,67,0.237,0.223,0.250,0.262,0.243
Team  68,68,0.480,0.820,0.904,0.920,0.781
Team  69,69,0.247,0.159,0.168,0.279,0.213
Team  70,70,0.760,0.856,0.906,0.918,0.860
Team  71,71,0.841,0.884,0.924,0.920,0.892
Team  72,72,0.769,0.198,0.913,0.914,0.699
Team  73,73,0.234,0.223,0.201,0.203,0.215
Team  74,74,0.540,0.735,0.793,0.801,0.717
Team  75,75,0.694,0.888,0.922,0.922,0.857
Team  76,76,0.230,0.226,0.203,0.230,0.222
Team  77,77,0.708,0.835,0.872,0.881,0.824
Team  78,78,0.443,0.555,0.673,0.692,0.591
Team  80,80,0.239,0.573,0.589,0.592,0.498
Team  81,81,0.465,0.838,0.860,0.882,0.761
Team  82,82,0.562,0.857,0.917,0.951,0.822
Team  83,83,0.332,0.397,0.495,0.480,0.426
Team  84,84,0.443,0.555,0.673,0.692,0.591
Team  85,85,0.583,0.756,0.802,0.733,0.718
Team  86,86,0.691,0.846,0.924,0.919,0.845
Team  87,87,0.750,0.829,0.899,0.876,0.838
Team  89,89,0.267,0.856,0.906,0.918,0.737
Team  90,90,0.164,0.238,0.163,0.173,0.184
Team  91,91,0.760,0.856,0.906,0.636,0.790
Team  92,92,0.862,0.916,0.935,0.944,0.914
Team  93,93,0.388,0.586,0.686,0.668,0.582
Team  94,94,0.704,0.863,0.900,0.897,0.841
Team  95,95,0.546,0.802,0.861,0.904,0.778
Team  97,97,0.700,0.803,0.897,0.875,0.819
Team  98,98,0.351,0.521,0.653,0.639,0.541
Team  99,99,0.500,0.808,0.705,0.833,0.712
Team 100,100,0.369,0.603,0.613,0.633,0.555
Team 101,101,0.326,0.412,0.509,0.521,0.442
Team 102,102,0.760,0.856,0.906,0.918,0.860
Team 103,103,0.487,0.827,0.859,0.784,0.739
Team 104,104,0.795,0.875,0.906,0.923,0.874
Team 105,105,0.235,0.359,0.345,0.320,0.315
Team 106,106,0.777,0.203,0.917,0.514,0.603
Team 107,107,0.458,0.791,0.847,0.861,0.739
Team 108,108,0.597,0.761,0.845,0.850,0.763
Team 109,109,0.630,0.741,0.828,0.824,0.756
Team 110,110,0.387,0.495,0.564,0.595,0.510
Team 111,111,0.540,0.804,0.873,0.918,0.784
Team 112,112,0.339,0.556,0.566,0.636,0.524
Team 113,113,0.734,0.897,0.914,0.916,0.865
Team 114,114,0.476,0.674,0.785,0.778,0.678
Team 115,115,0.758,0.202,0.908,0.902,0.692
Team 116,116,0.772,0.854,0.890,0.902,0.855
Team 117,117,0.772,0.854,0.890,0.902,0.855
Team 118,118,0.397,0.598,0.657,0.654,0.577
Team 119,119,0.676,0.797,0.893,0.840,0.801
Team 120,120,0.287,0.409,0.447,0.432,0.394
Team 121,121,0.368,0.688,0.895,0.893,0.711
Team 122,122,0.770,0.892,0.925,0.929,0.879
Team 123,123,0.271,0.283,0.345,0.427,0.332
Team 124,124,0.851,0.924,0.894,0.921,0.897
Team 125,125,0.501,0.827,0.866,0.781,0.744
Team 127,127,0.752,0.890,0.920,0.934,0.874
Team 128,128,0.479,0.685,0.809,0.800,0.693
Team 129,129,0.783,0.832,0.923,0.907,0.861
Team 130,130,0.617,0.796,0.832,0.836,0.770
Team 131,131,0.653,0.908,0.934,0.890,0.846
Team 132,132,0.676,0.698,0.795,0.811,0.745
Team 133,133,0.703,0.864,0.919,0.898,0.846
Team 134,134,0.533,0.730,0.834,0.820,0.729
Team 135,135,0.219,0.167,0.211,0.220,0.204
Team 136,136,0.384,0.737,0.797,0.779,0.674
Team 137,137,0.304,0.409,0.472,0.493,0.420
Team 139,139,0.504,0.770,0.749,0.861,0.721
Team 140,140,0.299,0.416,0.492,0.502,0.427
Team 141,141,0.294,0.188,0.233,0.250,0.241
Team 143,143,0.760,0.856,0.906,0.918,0.860
Team 144,144,0.299,0.813,0.858,0.919,0.722
Team 146,146,0.715,0.852,0.927,0.929,0.856
Team 147,147,0.252,0.159,0.169,0.280,0.215
Team 148,148,0.250,0.159,0.167,0.275,0.213
Team 149,149,0.795,0.197,0.911,0.917,0.705
Team 150,150,0.444,0.859,0.914,0.936,0.788
